date,track_name,artist_name,uri,link,uri_real,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
"September 4, 2022 at 01:38AM",Plane Ride,The Undercover Dream Lovers,0W1zCFmX3HqW8mxCh19adJ,https://open.spotify.com/track/0W1zCFmX3HqW8mxCh19adJ,spotify:track:0W1zCFmX3HqW8mxCh19adJ,0.683,0.729,2,-5.945,0.0671,0.581,0.00419,0.291,0.693,140.085,239773
"September 4, 2022 at 01:41AM",Warm,Stevan,5PauCXUcri0478Kt5SfU8A,https://open.spotify.com/track/5PauCXUcri0478Kt5SfU8A,spotify:track:5PauCXUcri0478Kt5SfU8A,0.6,0.918,1,-6.506,0.039,0.0696,0.791,0.0722,0.969,94.991,185024
"September 4, 2022 at 01:44AM",Saturn Return,Howard,4lvJiiUo4y9jUimIzdvIwz,https://open.spotify.com/track/4lvJiiUo4y9jUimIzdvIwz,spotify:track:4lvJiiUo4y9jUimIzdvIwz,0.657,0.679,9,-8.79,0.0268,0.227,0.0958,0.109,0.571,129.963,178085
"September 4, 2022 at 01:48AM",Posters,Elah Hale,7066GpfKnmqFzt0azFMyPx,https://open.spotify.com/track/7066GpfKnmqFzt0azFMyPx,spotify:track:7066GpfKnmqFzt0azFMyPx,0.752,0.739,6,-6.365,0.0379,0.272,0.0402,0.114,0.834,120.0,201862
"September 4, 2022 at 01:51AM",Surprise,Camp Howard,5SOa1PIuz8vzH4aimIWwOy,https://open.spotify.com/track/5SOa1PIuz8vzH4aimIWwOy,spotify:track:5SOa1PIuz8vzH4aimIWwOy,0.673,0.461,8,-7.676,0.0397,0.0163,2.51e-05,0.14,0.565,110.003,193982
"September 4, 2022 at 01:54AM",Raincheck,Jachary,4uLayl2QxBKcnNE9A34rev,https://open.spotify.com/track/4uLayl2QxBKcnNE9A34rev,spotify:track:4uLayl2QxBKcnNE9A34rev,0.742,0.716,2,-7.319,0.061,0.218,0.106,0.0869,0.708,102.236,186520
"September 4, 2022 at 01:56AM",Favor,Legwurk,3kdqGricnsw4DGG4nNrIO0,https://open.spotify.com/track/3kdqGricnsw4DGG4nNrIO0,spotify:track:3kdqGricnsw4DGG4nNrIO0,0.668,0.435,10,-8.355,0.0643,0.387,0.0,0.16,0.846,167.079,138503
"September 4, 2022 at 01:59AM",Lose U,Ruble,4Kzuydl1zL1XrM93z9dzxQ,https://open.spotify.com/track/4Kzuydl1zL1XrM93z9dzxQ,spotify:track:4Kzuydl1zL1XrM93z9dzxQ,0.674,0.583,1,-6.078,0.0347,0.145,1.65e-06,0.232,0.598,94.972,184667
"September 4, 2022 at 02:03AM",Making Me Nervous,Hala,6GQjL1ShIyojWGx46oN1mo,https://open.spotify.com/track/6GQjL1ShIyojWGx46oN1mo,spotify:track:6GQjL1ShIyojWGx46oN1mo,0.77,0.535,3,-9.528,0.0638,0.199,3.66e-05,0.0858,0.753,153.914,193175
"September 4, 2022 at 02:05AM",La Girl,the booyah! kids,4dv526VBLbxcV6bg315lcb,https://open.spotify.com/track/4dv526VBLbxcV6bg315lcb,spotify:track:4dv526VBLbxcV6bg315lcb,0.569,0.595,6,-11.102,0.0696,0.277,0.0148,0.277,0.744,90.012,151361
